Country,Year,Food Types,Total Waste in Tons,Food Economic Loss (Million $),Avg Waste per Capita (Kg),Country Population (Million) (Not Accurate),Household Waste (%)
Australia,2019,Fruits & Vegetables,19268.63,18686.68,72.69,87.59,53.64
Indonesia,2019,Prepared Food,3916.97,4394.48,192.52,1153.99,30.61
Germany,2022,Dairy Products,9700.16,8909.16,166.94,1006.11,48.08
France,2023,Fruits & Vegetables,46299.69,40551.22,120.19,953.05,31.91
France,2023,Beverages,33096.57,36980.82,104.74,1105.47,36.06
India,2024,Fruits & Vegetables,11962.89,11196.04,136.21,1311.91,37.09
Germany,2024,Prepared Food,45038.72,39191.25,179.27,1349.45,68.93
China,2019,Fruits & Vegetables,12791.2,12233.28,90.8,1229.29,59.9
UK,2019,Meat & Seafood,14795.65,14346.97,128.91,450.33,59.01
India,2019,Grains & Cereals,12118.32,13631.17,141.75,359.26,42.42
South Africa,2024,Frozen Food,39478.7,40087.26,155.55,375.84,31.16
Japan,2022,Frozen Food,41025.9,35437.9,49.95,1219.43,33.79
USA,2024,Beverages,22924.85,22406.24,89.59,836.05,45.43
France,2018,Beverages,29295.07,34102.25,46.64,1286.73,32.95
USA,2022,Bakery Items,32457.98,27905.84,46.77,865.6,46.46
USA,2021,Meat & Seafood,43264.26,44777.94,41.81,665.18,48.22
Brazil,2021,Frozen Food,23131.08,21882.67,50.79,853.06,49.78
Saudi Arabia,2020,Prepared Food,18483.82,21071.65,198.62,143.12,48.83
UK,2022,Meat & Seafood,25829.56,20806.34,119.62,185.01,32.51
China,2018,Prepared Food,11314.08,10287.7,111.67,953.52,33.75
Saudi Arabia,2019,Fruits & Vegetables,10653.37,8992.33,74.16,37.76,46.44
Australia,2020,Fruits & Vegetables,1322.82,1394.01,88.85,205.78,30.63
India,2023,Meat & Seafood,33403.26,39125.38,137.6,1299.21,36.55
Italy,2023,Fruits & Vegetables,30875.29,31341.6,198.26,349.04,52.64
Saudi Arabia,2024,Prepared Food,33085.77,28923.13,37.71,552.45,38.96
Germany,2018,Beverages,12336.2,10077.91,38.86,689.21,36.92
Brazil,2021,Bakery Items,5949.18,6656.14,35.46,698.43,61.48
France,2018,Frozen Food,17470.52,16267.24,73.76,855.4,60.11
Spain,2021,Fruits & Vegetables,41676.18,43058.29,135.22,1325.54,54.32
Mexico,2018,Meat & Seafood,20604.34,23257.47,31.88,412.45,67.53
Argentina,2020,Bakery Items,49310.46,49520.57,21.69,983.97,55.47
Indonesia,2024,Frozen Food,26812.66,28028.3,57,891.66,48.81
Argentina,2022,Bakery Items,17868.63,20588.93,82.52,897.76,54.59
USA,2019,Bakery Items,13732.64,15129.94,156.84,618.88,38.14
Saudi Arabia,2019,Beverages,29827.95,31970.55,102.81,1235.4,66.68
Canada,2021,Frozen Food,28802.2,29584.64,190.42,687.81,33.73
South Korea,2023,Frozen Food,29848.3,27362.18,47.82,1131.8,49.97
Brazil,2024,Grains & Cereals,39420.56,34541.01,65.63,513.73,56.49
Brazil,2024,Prepared Food,37292.94,35268.41,80.6,619.76,57
Japan,2020,Beverages,44797.11,41233.8,64.74,1234.63,65.69
Japan,2023,Bakery Items,40398.07,48103.94,177.95,367.79,32.26
Russia,2020,Dairy Products,13679.64,14249.79,182.75,776.16,51.14
China,2024,Frozen Food,11766.79,11890.12,21.26,84.69,37.22
Argentina,2021,Meat & Seafood,24444.03,26615.82,123.83,303.78,60.73
Russia,2019,Bakery Items,15476.91,13087.99,176.5,1335.8,36.7
Saudi Arabia,2018,Frozen Food,2751.15,2310.76,52.39,622.92,51
Italy,2024,Fruits & Vegetables,20238.65,18395.86,22.64,467.6,50.9
USA,2022,Dairy Products,8731.68,10040.12,63.83,543.41,42.96
UK,2023,Grains & Cereals,23609.83,25520.57,152.21,272.87,66.14
South Korea,2024,Grains & Cereals,38427.68,31258.66,92.89,952.23,40.69
Germany,2023,Bakery Items,33550.41,32946.48,193.85,1333.3,55.02
Australia,2020,Beverages,45243.85,37828.94,47.21,559.57,50.34
UK,2023,Meat & Seafood,30022.09,24487.08,92.64,1278.03,54.63
Argentina,2019,Prepared Food,49481.61,51126.24,95.46,1281.78,59.3
Australia,2022,Grains & Cereals,13313.78,13273.68,140.85,183.45,41.34
UK,2021,Frozen Food,33936.66,31082.9,24.93,1234.55,66.51
Russia,2020,Prepared Food,26418.47,24820.06,85.69,1257.32,65.04
Mexico,2021,Frozen Food,25204.06,22725.56,65.79,1196.99,60.76
Japan,2022,Prepared Food,3891.45,4059.29,183.91,160.01,43.77
Canada,2024,Frozen Food,29007.66,28622.38,34.53,1327.02,56.87
Mexico,2021,Meat & Seafood,32727.8,37447.1,100.48,261.12,39.04
Italy,2023,Dairy Products,46189.14,42351.8,150.95,253.83,33.01
Saudi Arabia,2024,Fruits & Vegetables,1104.56,1300.14,134.77,906.42,37.85
Mexico,2021,Prepared Food,41701.22,42629.63,154.95,850.56,64.4
Turkey,2022,Prepared Food,11484.88,10827.65,196.26,39.26,63.03
Indonesia,2021,Beverages,23043.63,22714.51,167.69,477.21,56.08
Turkey,2024,Frozen Food,49640.44,43002.21,147.97,1199.99,66.46
Japan,2019,Frozen Food,47373.71,50237.28,122.91,1333.29,56.63
China,2021,Dairy Products,16464.38,18670.32,37.64,1184.69,48.42
Germany,2024,Fruits & Vegetables,26111.99,21589.27,168.69,1172.25,50.31
Turkey,2022,Grains & Cereals,29147.18,33953.62,131.16,1317.63,44.8
Saudi Arabia,2023,Dairy Products,12894.18,13051.48,160.37,418.74,46.87
Italy,2018,Fruits & Vegetables,24353.78,26604.16,188.03,430.09,31.28
Germany,2023,Prepared Food,46296.01,45513.35,53.07,754.61,34.16
Indonesia,2023,Prepared Food,35998.11,32227.85,69.8,672.05,48.3
India,2024,Bakery Items,19940.67,16685,69.49,1246.79,54.64
Mexico,2019,Dairy Products,20682.45,18331.22,75.79,789.69,66.86
India,2024,Beverages,25894.46,23584.07,85.66,1317.81,64.46
Japan,2024,Grains & Cereals,6206.67,5227.1,109.03,1303.51,63.17
UK,2023,Prepared Food,6158.59,5344.53,52.96,271.03,39.15
South Korea,2018,Dairy Products,2995.27,3247.61,47.23,592.16,49.19
Indonesia,2018,Frozen Food,22227.76,24684.1,186.41,378.43,34.27
South Korea,2021,Grains & Cereals,37912.85,31508.32,147.55,1208.19,62.76
France,2023,Prepared Food,45216.87,53291.62,199.27,1258.49,66.59
Saudi Arabia,2020,Meat & Seafood,6000.35,6335.63,119.75,936.97,47.09
China,2019,Grains & Cereals,11699.76,13226.55,139.02,143.06,54.19
Saudi Arabia,2021,Prepared Food,34919.42,40964.21,196.62,343.21,35.32
UK,2023,Beverages,37270.62,43998.68,148.18,459.9,41.16
Spain,2018,Beverages,30435.06,28495.47,131.24,876.44,39.94
Canada,2021,Beverages,29977.13,30214.94,92.79,330.05,46.49
Indonesia,2024,Meat & Seafood,41624.99,42883.64,88.01,674.31,45.05
France,2022,Fruits & Vegetables,23626.74,24156.13,198.38,745.17,66.68
Germany,2022,Beverages,48456.51,42311.26,191.89,370.23,57.62
Italy,2023,Beverages,11714.16,10116,103.42,918.9,31.39
Australia,2023,Beverages,3628.5,4199.04,100.92,654.55,59.03
Saudi Arabia,2020,Frozen Food,5522.93,4526.35,179.95,425.27,32.98
UK,2019,Frozen Food,5222.79,5146.97,39.16,1388.73,60.69
India,2018,Prepared Food,24858.69,21034.4,156.15,1057.39,58.01
Mexico,2018,Meat & Seafood,49002.55,39733.88,69.3,1280.4,66.77
Brazil,2022,Fruits & Vegetables,37440.24,33827.9,94.17,953.06,45.73
Brazil,2023,Bakery Items,30854.25,28373.57,115.04,747.57,51.99
Italy,2024,Meat & Seafood,46852.8,55386.73,139.02,24.51,62.87
Saudi Arabia,2022,Meat & Seafood,11318.5,12341.11,64.35,1018.05,69.02
Turkey,2021,Beverages,40184.32,39105.55,152.14,377.45,54.3
Japan,2023,Fruits & Vegetables,2192.54,2459.51,181.4,705.89,58.22
Argentina,2023,Frozen Food,27521.46,25452.38,176.44,1116.1,50.88
Argentina,2021,Grains & Cereals,33487.17,37702.25,86.33,1025.88,30.78
USA,2024,Prepared Food,35924.32,30004.9,192.56,1109.32,42.27
Argentina,2019,Meat & Seafood,43465.47,42742.96,129.35,889.88,45.22
Spain,2024,Meat & Seafood,33791.28,31479.67,65.9,219.46,30.43
Indonesia,2023,Meat & Seafood,48216.19,51593.84,151.14,353.04,56.75
France,2024,Frozen Food,1314.06,1332.64,128.69,1082.83,40.81
Brazil,2018,Dairy Products,21847,20986.45,84.77,846.22,34.63
Saudi Arabia,2024,Prepared Food,37050.71,38365.47,196.14,116.66,67.64
France,2020,Beverages,41479.3,45051.73,157.4,53.57,39.76
France,2020,Bakery Items,24927.16,21789.99,48.66,597.02,63.44
Argentina,2020,Fruits & Vegetables,48169.18,53898.55,60.39,1231.31,31.7
Brazil,2023,Prepared Food,16972.96,14320.65,99.26,165.4,34.47
Spain,2023,Dairy Products,13937.28,15512.11,108.3,27.87,40.63
Germany,2019,Beverages,23004.2,19818.33,76.51,199.6,48.01
UK,2018,Prepared Food,10099.58,10925.71,145.46,1363.87,58.7
Japan,2024,Dairy Products,47567.09,46165.99,94.32,32.61,65.82
South Africa,2024,Fruits & Vegetables,16963.98,19065.76,193.04,1268.4,35.61
Spain,2021,Frozen Food,30672.66,31614.27,20.47,470.41,53.25
Russia,2022,Meat & Seafood,38383.37,42044.15,140.83,515.01,69.26
Argentina,2022,Dairy Products,8037.7,8365.37,196.29,880.47,38.36
Spain,2019,Bakery Items,24425.55,26942.73,54.77,966.95,58.71
USA,2021,Bakery Items,34908.96,40850.93,121.91,237.19,40.3
India,2022,Frozen Food,11629.26,11829.8,64.13,716.37,32.13
China,2020,Meat & Seafood,6880.38,7585.37,71.67,1387.28,39.9
Canada,2018,Frozen Food,1325.37,1513.38,154.74,221.32,31.13
Indonesia,2024,Frozen Food,3567.42,3713.77,51.71,255.85,57.8
